x,y,label,family,sampled_index,source
92.306557,-7.849301,0,Benign,0,X_mixed
-25.393631,-7.199585,0,Benign,61,X_mixed
-50.618156,-26.585638,0,Benign,66,X_mixed
-8.573515,-110.508049,0,Benign,72,X_mixed
56.883564,2.705453,0,Benign,93,X_mixed
-39.506229,-44.319622,0,Benign,112,X_mixed
-38.599796,-60.841930,0,Benign,113,X_mixed
71.128197,-46.399357,0,Benign,125,X_mixed
70.874451,-46.522209,0,Benign,146,X_mixed
-44.487919,-33.404148,0,Benign,152,X_mixed
0.102660,-72.382355,0,Benign,178,X_mixed
-36.309021,-75.649284,0,Benign,182,X_mixed
54.410858,2.969479,0,Benign,196,X_mixed
-60.386169,-18.507851,0,Benign,216,X_mixed
-24.636129,-7.142632,0,Benign,270,X_mixed
-45.673706,-3.019646,0,Benign,272,X_mixed
-37.626225,-78.288231,0,Benign,280,X_mixed
54.310257,2.259233,0,Benign,310,X_mixed
70.400833,-34.968246,0,Benign,348,X_mixed
57.526756,-5.595272,0,Benign,363,X_mixed
70.434006,-36.445461,0,Benign,365,X_mixed
57.469730,-5.520601,0,Benign,367,X_mixed
70.740334,-37.616268,0,Benign,383,X_mixed
68.514076,-44.485226,0,Benign,410,X_mixed
68.501945,-44.493526,0,Benign,447,X_mixed
-24.561617,-7.127692,0,Benign,451,X_mixed
-7.414234,4.684205,0,Benign,473,X_mixed
-24.573559,-7.132815,0,Benign,474,X_mixed
-59.743263,-18.278698,0,Benign,495,X_mixed
-41.373234,-20.371489,0,Benign,502,X_mixed
-60.446243,-18.628967,0,Benign,504,X_mixed
-24.906734,-64.865402,0,Benign,520,X_mixed
23.102468,-78.656158,0,Benign,521,X_mixed
54.779938,-1.754518,0,Benign,531,X_mixed
58.974113,-6.615311,0,Benign,534,X_mixed
-37.410759,-59.551868,0,Benign,542,X_mixed
70.404907,-34.175011,0,Benign,555,X_mixed
-53.195210,-48.047623,0,Benign,559,X_mixed
-24.497906,-7.113238,0,Benign,560,X_mixed
-39.022747,-74.468834,0,Benign,561,X_mixed
-27.127586,-3.430887,0,Benign,567,X_mixed
-54.567066,-47.281170,0,Benign,571,X_mixed
-24.487587,-7.110545,0,Benign,572,X_mixed
57.030674,-5.219437,0,Benign,583,X_mixed
-24.460625,-7.103266,0,Benign,624,X_mixed
-7.309931,4.672276,0,Benign,634,X_mixed
14.141253,9.460112,0,Benign,642,X_mixed
