stream_index,label,kitsune_tanh_rmse,tenko_fused,tenko_nd_g,tenko_nd_s
0,0,0.000000,,,
15,0,0.000000,,,
30,0,0.000000,,,
45,0,0.000000,,,
60,0,0.000000,,,
75,0,0.000000,,,
90,0,0.000000,,,
105,0,0.000000,,,
120,0,0.000000,,,
135,0,0.000000,,,
150,0,0.000000,,,
165,0,0.000000,,,
180,0,0.000000,,,
195,0,0.000000,,,
210,0,0.000000,,,
225,0,0.000000,,,
240,0,0.000000,,,
255,0,0.000000,,,
270,0,0.000000,,,
285,0,0.000000,,,
300,0,0.000000,,,
315,0,0.000000,,,
330,0,0.000000,,,
345,0,0.000000,,,
360,0,0.000000,,,
375,0,0.000000,,,
390,0,0.000000,,,
405,0,0.000000,,,
420,0,0.000000,,,
435,0,0.000000,,,
450,0,0.000000,,,
465,0,0.000000,,,
480,0,0.000000,,,
495,0,0.000000,,,
510,0,0.000000,,,
525,0,0.000000,,,
540,0,0.000000,,,
555,0,0.000000,,,
570,0,0.000000,,,
585,0,0.000000,,,
600,0,0.000000,,,
615,0,0.000000,,,
630,0,0.000000,,,
645,0,0.000000,,,
660,0,0.000000,,,
675,0,0.000000,,,
690,0,0.000000,,,
705,0,0.000000,,,
720,0,0.000000,,,
735,0,0.000000,,,
750,0,0.000000,,,
765,0,0.000000,,,
780,0,0.000000,,,
795,0,0.000000,,,
810,0,0.000000,,,
825,0,0.000000,,,
840,0,0.000000,,,
855,0,0.000000,,,
870,0,0.000000,,,
885,0,0.000000,,,
900,0,0.000000,,,
915,0,0.000000,,,
930,0,0.000000,,,
945,0,0.000000,,,
960,0,0.000000,,,
975,0,0.000000,,,
990,0,0.000000,,,
1005,0,0.000000,,,
1020,0,0.000000,,,
1035,0,0.000000,,,
1050,0,0.000000,,,
1065,0,0.000000,,,
1080,0,0.000000,,,
1095,0,0.000000,,,
1110,0,0.000000,,,
1125,0,0.000000,,,
1140,0,0.000000,,,
1155,0,0.000000,,,
1170,0,0.000000,,,
1185,0,0.000000,,,
1200,0,0.000000,,,
1215,0,0.000000,,,
1230,0,0.000000,,,
1245,0,0.000000,,,
1260,0,0.000000,,,
1275,0,0.000000,,,
1290,0,0.000000,,,
1305,0,0.000000,,,
1320,0,0.000000,,,
