packet_index,eval_index,label,rmse,tanh_rmse
55000,0,0,0.016149654,0.01614825
55100,100,0,0.014252139,0.014251174
55200,200,0,0.011617857,0.011617335
55300,300,0,0.013349338,0.013348546
55400,400,0,0.010815954,0.010815533
55500,500,0,0.010983776,0.010983335
55600,600,0,0.014329967,0.014328986
55700,700,0,0.029108868,0.029100649
55800,800,0,0.013372599,0.013371802
55900,900,0,0.014568586,0.014567556
56000,1000,0,0.011060175,0.011059724
56100,1100,0,0.012012896,0.012012318
56200,1200,0,0.017467185,0.017465409
56300,1300,0,0.013839746,0.013838862
56400,1400,0,0.011889323,0.011888763
56500,1500,0,0.010994979,0.010994536
56600,1600,0,0.022835124,0.022831156
56700,1700,0,0.018464147,0.018462049
56800,1800,0,0.014534793,0.014533769
56900,1900,0,0.01400655,0.014005634
57000,2000,0,0.013188942,0.013188177
57100,2100,0,0.019726005,0.019723447
57200,2200,0,0.014420867,0.014419867
57300,2300,0,0.013852272,0.013851386
57400,2400,0,0.011977174,0.011976601
57500,2500,0,0.011282571,0.011282092
57600,2600,0,0.01282438,0.012823677
57700,2700,0,0.01488012,0.014879022
57800,2800,0,0.016423605,0.016422129
57900,2900,0,0.015521088,0.015519842
58000,3000,0,0.012026876,0.012026296
58100,3100,0,0.011882258,0.011881699
58200,3200,0,0.018612023,0.018609874
58300,3300,0,0.016845317,0.016843724
58400,3400,0,0.018797068,0.018794855
58500,3500,0,0.018647295,0.018645133
58600,3600,0,0.011932049,0.011931483
58700,3700,0,0.01516018,0.015159019
58800,3800,0,0.046488223,0.046454762
58900,3900,0,0.023038415,0.02303434
59000,4000,0,0.025626231,0.025620623
59100,4100,0,0.012922648,0.012921929
59200,4200,0,0.023099918,0.02309581
59300,4300,0,0.021273289,0.021270081
59400,4400,0,0.0289434,0.028935321
59500,4500,0,0.021336559,0.021333322
59600,4600,0,0.013182508,0.013181745
59700,4700,0,0.019094683,0.019092363
59800,4800,0,0.015528943,0.015527695
59900,4900,0,0.013725369,0.013724508
60000,5000,0,0.018148952,0.018146959
60100,5100,0,0.015687366,0.015686079
60200,5200,0,0.02094376,0.020940698
60300,5300,0,0.013826982,0.013826101
60400,5400,0,0.021077259,0.021074138
60500,5500,0,0.021428916,0.021425637
60600,5600,0,0.014729898,0.014728833
60700,5700,0,0.015414318,0.015413098
60800,5800,0,0.021881409,0.021877918
60900,5900,0,0.023024096,0.023020029
61000,6000,0,0.029626004,0.02961734
61100,6100,0,0.015624218,0.015622947
