packet_index,eval_index,label,rmse,tanh_rmse
55000,0,0,0.0089253637,0.0089251267
55100,100,0,0.014970223,0.014969105
55200,200,0,0.0078394444,0.0078392838
55300,300,0,0.015233292,0.015232113
55400,400,0,0.024049193,0.024044558
55500,500,0,0.0085626951,0.0085624859
55600,600,0,0.018622495,0.018620342
55700,700,0,0.018861643,0.018859407
55800,800,0,0.0080733146,0.0080731392
55900,900,0,0.0045125818,0.0045125512
56000,1000,0,0.0057518853,0.0057518218
56100,1100,0,0.042381743,0.042356386
56200,1200,0,0.019958022,0.019955373
56300,1300,0,0.0099285467,0.0099282205
56400,1400,0,0.017762916,0.017761048
56500,1500,0,0.0159256,0.015924254
56600,1600,0,0.028959038,0.028950945
56700,1700,0,0.016830161,0.016828572
56800,1800,0,0.015174656,0.015173492
56900,1900,0,0.020380576,0.020377755
57000,2000,0,0.018735477,0.018733285
57100,2100,0,0.013400982,0.01340018
57200,2200,0,0.011044597,0.011044148
57300,2300,0,0.012568377,0.012567715
57400,2400,0,0.014754489,0.014753419
57500,2500,0,0.025565524,0.025559956
57600,2600,0,0.027623063,0.027616039
57700,2700,0,0.013040504,0.013039764
57800,2800,0,0.016413211,0.016411737
57900,2900,0,0.012571001,0.012570339
58000,3000,0,0.011648454,0.011647927
58100,3100,0,0.019052557,0.019050252
58200,3200,0,0.034334153,0.034320668
58300,3300,0,0.032578513,0.032566992
58400,3400,0,0.015835539,0.015834215
58500,3500,0,0.013488042,0.013487225
58600,3600,0,0.016241427,0.016239999
58700,3700,0,0.017773718,0.017771847
58800,3800,0,0.015779744,0.015778434
58900,3900,0,0.050296686,0.050254316
59000,4000,0,0.014214811,0.014213854
59100,4100,0,0.017573539,0.01757173
59200,4200,0,0.044102031,0.044073461
59300,4300,0,0.041133802,0.041110618
59400,4400,0,0.038428764,0.038409858
59500,4500,0,0.037153563,0.037136477
59600,4600,0,0.035741381,0.03572617
59700,4700,0,0.015521562,0.015520316
59800,4800,0,0.016593467,0.016591944
59900,4900,0,0.019592636,0.019590129
60000,5000,0,0.016954183,0.016952559
60100,5100,0,0.043751057,0.043723162
60200,5200,0,0.020063673,0.020060982
60300,5300,0,0.025049067,0.025043829
60400,5400,0,0.02176053,0.021757096
60500,5500,0,0.019705973,0.019703422
60600,5600,0,0.019854046,0.019851438
60700,5700,0,0.019896836,0.019894211
60800,5800,0,0.039630102,0.039609368
60900,5900,0,0.020603693,0.020600778
61000,6000,0,0.038982305,0.038962571
61100,6100,0,0.021050709,0.0210476
61200,6200,0,0.041971096,0.041946468
61300,6300,0,0.020271612,0.020268835
61400,6400,0,0.021467191,0.021463894
61500,6500,0,0.045295307,0.045264355
61600,6600,0,0.042338208,0.042312928
61700,6700,0,0.042734448,0.042708453
61800,6800,0,0.018519571,0.018517454
61900,6900,0,0.023299733,0.023295518
62000,7000,0,0.022163145,0.022159517
62100,7100,0,0.02274075,0.022736831
62200,7200,0,0.022657757,0.02265388
62300,7300,0,0.023712106,0.023707663
62400,7400,0,0.045535511,0.045504064
62500,7500,0,0.025212529,0.025207188
62600,7600,0,0.096323715,0.096026911
62700,7700,0,0.023130219,0.023126095
62800,7800,0,0.023826273,0.023821766
62900,7900,0,0.024604134,0.02459917
63000,8000,0,0.026458431,0.026452258
63100,8100,0,0.026211932,0.026205931
63200,8200,0,0.027101769,0.027095135
